    Name               Method     Scheme   Host   Path
    get_file           GET        ANY      ANY    /api/file
    add_file           POST       ANY      ANY    /api/file
    add_file_on        POST       ANY      ANY    /api/file/{type}/{content_id}

    list_posts         GET        ANY      ANY    /api/posts/lists
    show_post          GET|POST   ANY      ANY    /api/posts/{post_id}
    create_post        POST       ANY      ANY    /api/posts/
    edit_post          PUT        ANY      ANY    /api/posts/edit/{post_id}
    delete_post        DELETE     ANY      ANY    /api/posts/{post_id}

    list_user_posts    GET        ANY      ANY    /api/posts/user/lists
    create_user_post   POST       ANY      ANY    /api/posts/user
    edit_user_post     PUT        ANY      ANY    /api/posts/user/edit/{post_id}
    delete_user_post   DELETE     ANY      ANY    /api/posts/user/{post_id}

    user_login         POST       ANY      ANY    /api/auth/login_check
    user_logout        GET        ANY      ANY    /api/auth/logout
    user_register      POST       ANY      ANY    /api/auth/register
